position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
41,Autolla mereen,Lapsuus,0.328,0.843,0.0589,0.38,0,0.159,101.318,174760,-7.039,1,https://open.spotify.com/track/68ydpTVFrcwbWDwyhTDck1
42,After Party,Don Toliver,0.629,0.692,0.0376,0.453,1,0.00981,162.948,167916,-8.045,5,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
43,Ikävä sua,Sampo Salmela,0.608,0.507,0.0289,0.425,1,0.075,120.078,233895,-9.225,8,https://open.spotify.com/track/1n13ABKbfaXQFeD0J5b1d9
44,LMK,Lil Xxel,0.748,0.457,0.0465,0.464,1,0.0292,123.035,188293,-7.56,6,https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB
45,Viikatemies,YSI,0.809,0.589,0.0535,0.444,0,0.251,120.059,212797,-11.303,7,https://open.spotify.com/track/2wVSAaKACwBEJ6azDurKkB
46,Anime Thighs,MC Virgins,0.865,0.311,0.434,0.59,1,0.212,93.006,155037,-16.994,2,https://open.spotify.com/track/3nWeDCCPMUM9KkYCwc3gy1
47,Tears Getting Sober,VICTORIA,0.457,0.147,0.0319,0.265,1,0.935,116.186,182229,-11.375,6,https://open.spotify.com/track/4S4mUQoI7yqnnyEAfh7MAP
48,Control,Zoe Wees,0.599,0.465,0.0314,0.0678,1,0.643,113.82,230880,-4.95,4,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
49,Vanki,Ikirouta,0.452,0.939,0.048,0.52,1,0.00337,75.03,223072,-4.232,9,https://open.spotify.com/track/4tn2N530PmKWZxW3qJvMMV
50,Aftermath,The Ghost Inside,0.298,0.953,0.192,0.127,0,0.000375,172.023,298826,-3.334,5,https://open.spotify.com/track/0UL668NCJKvzQuIgkwTQtz
1,Судно (Борис Рижий),Molchat Doma,0.484,0.749,0.0687,0.468,1,0.699,160.006,141395,-4.176,1,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
2,EI,Ina,0.705,0.636,0.157,0.507,0,0.00596,150.09,170200,-8.915,5,https://open.spotify.com/track/0TvvRl13syy2Lbs8RLRMtc
3,August,Intelligency,0.835,0.559,0.0323,0.509,0,0.314,125.023,179520,-9.852,2,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
